M,N,K,dtype,opA,opB,metric,nsol,def_ms,tflops
109,949,13399,fp16,T,N,0,258,0.59131,4.69
109,949,13399,fp16,T,N,1,258,0.59430,4.66
109,949,13399,fp16,T,N,2,258,0.59153,4.69
4696,13557,428,fp16,T,T,0,53,1.02428,53.20
4696,13557,428,fp16,T,T,1,53,1.02588,53.12
4696,13557,428,fp16,T,T,2,53,1.02412,53.21
161,15296,18597,fp32,N,N,0,556,4.57194,20.03
161,15296,18597,fp32,N,N,1,556,4.58666,19.97
161,15296,18597,fp32,N,N,2,556,4.67093,19.61
1194,12984,1825,fp32,T,N,0,525,1.52402,37.13
1194,12984,1825,fp32,T,N,1,525,1.52492,37.11
1194,12984,1825,fp32,T,N,2,525,1.52530,37.10
463,156,8257,fp16,T,N,0,395,0.16198,7.36
463,156,8257,fp16,T,N,1,395,0.16251,7.34
463,156,8257,fp16,T,N,2,395,0.16272,7.33
176,440,263,fp16,N,T,0,227,0.01221,3.34
176,440,263,fp16,N,T,1,227,0.01403,2.90
176,440,263,fp16,N,T,2,227,0.01269,3.21
12084,3781,1746,bf16,T,T,0,39,1.45719,109.49
12084,3781,1746,bf16,T,T,1,39,1.46130,109.18
12084,3781,1746,bf16,T,T,2,39,1.45863,109.38
165,4383,1662,bf16,N,T,0,62,0.17814,13.49
165,4383,1662,bf16,N,T,1,62,0.17963,13.38
165,4383,1662,bf16,N,T,2,62,0.17968,13.38
960,371,623,fp16,T,N,0,245,0.03184,13.94
960,371,623,fp16,T,N,1,245,0.03200,13.87
960,371,623,fp16,T,N,2,245,0.03205,13.84
13115,31789,540,fp16,T,N,0,245,5.80988,77.50
13115,31789,540,fp16,T,N,1,245,5.79878,77.65
13115,31789,540,fp16,T,N,2,245,5.78673,77.81
11195,230,558,fp32,N,T,0,612,0.11856,24.24
11195,230,558,fp32,N,T,1,612,0.11893,24.16
11195,230,558,fp32,N,T,2,612,0.11941,24.06
1436,17013,22800,bf16,N,N,0,166,15.81137,70.46
1436,17013,22800,bf16,N,N,1,166,15.91095,70.02
1436,17013,22800,bf16,N,N,2,166,15.98321,69.70
96,1194,13185,fp32,N,T,0,612,0.21568,14.01
96,1194,13185,fp32,N,T,1,612,0.21600,13.99
96,1194,13185,fp32,N,T,2,612,0.21392,14.13
850,22713,182,fp16,N,N,0,94,0.21003,33.46
850,22713,182,fp16,N,N,1,94,0.21216,33.12
850,22713,182,fp16,N,N,2,94,0.21019,33.43
85,362,284,bf16,T,N,0,231,0.01739,1.01
85,362,284,bf16,T,N,1,231,0.01749,1.00
85,362,284,bf16,T,N,2,231,0.01803,0.97
827,12024,2657,fp32,T,T,0,82,1.45346,36.36
827,12024,2657,fp32,T,T,1,82,1.45511,36.31
