capture,M,N,K,dtype,opA,opB,call_count
qwen-2.7b,112,16384,5120,bf16,N,T,48
qwen-2.7b,11,16384,5120,bf16,N,T,48
qwen-2.7b,12,16384,5120,bf16,N,T,3024
qwen-2.7b,12,5120,17408,bf16,N,T,4032
qwen-2.7b,256,16384,5120,bf16,N,T,48
qwen-2.7b,12,14336,5120,bf16,N,T,1008
qwen-2.7b,112,96,5120,bf16,N,T,48
qwen-2.7b,112,14336,5120,bf16,N,T,16
qwen-2.7b,256,96,5120,bf16,N,T,48
qwen-2.7b,12,248320,5120,bf16,N,T,63
qwen-2.7b,11,34816,5120,bf16,N,T,64
qwen-2.7b,8192,5120,17408,bf16,N,T,64
qwen-2.7b,11,96,5120,bf16,N,T,48
