transA,transB,M,N,batch_count,K,alpha,beta,lda,ldb,ldc,input_type,output_type,compute_type,solution_index
N,T,3718,2627,1,13306,1,0,3718,2627,3718,bf16_r,f32_r,f32_r,606605585
N,T,4382,1662,1,14259,1,0,4382,1662,4382,bf16_r,f32_r,f32_r,606630816
N,T,6483,1645,1,15053,1,0,6483,1645,6483,bf16_r,f32_r,f32_r,606605634
N,T,4171,1943,1,19403,1,0,4171,1943,4171,f16_r,f32_r,f32_r,606622991
N,N,748,138,1,11667,1,0,748,11667,748,f16_r,f32_r,f32_r,606603393
N,N,134,354,1,9611,1,0,134,9611,134,f32_r,f32_r,f32_r,606605136
N,T,140,619,1,10271,1,0,140,619,140,bf16_r,f32_r,f32_r,606605443
N,T,578,4537,1,31840,1,0,578,4537,578,f16_r,f32_r,f32_r,606622985
N,T,7821,262,1,30041,1,0,7821,262,7821,bf16_r,f32_r,f32_r,606630812
N,T,3057,407,1,15543,1,0,3057,407,3057,f16_r,f32_r,f32_r,606622952
N,T,5359,1367,1,22748,1,0,5359,1367,5359,f16_r,f32_r,f32_r,606603105
T,N,245,974,1,11796,1,0,11796,11796,245,f32_r,f32_r,f32_r,606618429
T,N,7516,1717,1,15296,1,0,15296,15296,7516,f16_r,f32_r,f32_r,606604841
T,T,12982,9457,1,16790,1,0,16790,9457,12982,bf16_r,f32_r,f32_r,606619906
N,N,943,614,1,15203,1,0,943,15203,943,f16_r,f32_r,f32_r,606603289
T,T,6804,16368,1,21486,1,0,21486,16368,6804,bf16_r,f32_r,f32_r,606619906
T,N,427,206,1,32112,1,0,32112,32112,427,bf16_r,f32_r,f32_r,606623139
N,T,1193,4516,1,8455,1,0,1193,4516,1193,bf16_r,f32_r,f32_r,606630874
T,T,13508,14171,1,10645,1,0,10645,14171,13508,bf16_r,f32_r,f32_r,606619906
T,N,342,9923,1,29592,1,0,29592,29592,342,bf16_r,f32_r,f32_r,606623188
T,T,178,210,1,16546,1,0,16546,210,178,f16_r,f32_r,f32_r,606629612
T,N,3027,1417,1,15782,1,0,15782,15782,3027,bf16_r,f32_r,f32_r,606603135
T,T,15545,11351,1,15562,1,0,15562,11351,15545,bf16_r,f32_r,f32_r,606619906
T,T,10121,13020,1,10163,1,0,10163,13020,10121,bf16_r,f32_r,f32_r,606619906
T,T,16070,4125,1,25745,1,0,25745,4125,16070,bf16_r,f32_r,f32_r,606619906
N,N,2653,140,1,9940,1,0,2653,9940,2653,f16_r,f32_r,f32_r,606624111
T,N,3053,1838,1,16508,1,0,16508,16508,3053,f16_r,f32_r,f32_r,606627731
T,N,347,13761,1,24874,1,0,24874,24874,347,bf16_r,f32_r,f32_r,606603171
