family,harness_M,harness_N,K,dtype,harness_opA,harness_opB,rocblas_M,rocblas_N,rocblas_transA,rocblas_transB,n_solutions,rocblas_solution_index,tensile_index_for_override,default_ms,best_ms,gain
large-K,1387,651,14013,fp32,N,N,651,1387,N,N,556,-606605132,606605122,1.20929,0.99173,1.2194
large-K,444,3720,23695,fp16,T,N,3720,444,N,T,555,-606622904,606622894,1.05126,0.86567,1.2144
large-K,30027,327,18900,bf16,N,N,327,30027,N,N,166,-606629916,606629906,5.06867,4.18004,1.2126
large-K,739,1382,10850,fp32,N,N,1382,739,N,N,556,-606628025,606628015,0.90261,0.74598,1.2100
large-K,28746,383,26228,bf16,T,N,383,28746,N,T,231,-606605592,606605582,5.59686,4.62787,1.2094
large-K,196,1075,15430,fp32,T,N,1075,196,N,T,519,-606624892,606624882,0.35317,0.29348,1.2034
large-K,2847,405,15802,fp32,N,N,405,2847,N,N,556,-606627870,606627860,1.72421,1.43570,1.2010
large-K,4908,3144,12932,fp16,N,T,3144,4908,T,N,227,-606627716,606627706,4.18259,3.49227,1.1977
large-K,621,776,19724,bf16,N,T,776,621,T,N,214,-606623176,606623166,0.40288,0.33672,1.1965
large-K,3854,1152,17418,fp32,N,N,1152,3854,N,N,556,-606605112,606605102,5.84565,4.88977,1.1955
large-K,333,2353,29716,bf16,T,N,2353,333,N,T,244,-606605583,606605573,0.75123,0.62842,1.1954
large-K,13633,1900,13128,fp16,N,N,1900,13633,N,N,217,-606624226,606624216,8.22402,6.88296,1.1948
large-K,1882,128,12066,fp32,T,N,128,1882,N,T,525,-606603986,606603976,0.27530,0.23087,1.1924
large-K,11574,200,17559,fp32,N,T,200,11574,T,N,614,-606618402,606618392,3.57552,2.99853,1.1924
large-K,7063,3309,10421,bf16,T,T,3309,7063,T,T,39,-606619916,606619906,5.59611,4.69759,1.1913
large-K,790,2006,16882,fp32,N,T,2006,790,T,N,612,-606602201,606602191,1.95657,1.64363,1.1904
large-K,1338,7060,9828,bf16,T,T,7060,1338,T,T,39,-606619915,606619905,2.06102,1.73254,1.1896
large-K,4073,1103,8437,bf16,N,N,1103,4073,N,N,166,-606629917,606629907,0.98664,0.83059,1.1879
large-K,1280,2768,15628,bf16,N,N,2768,1280,N,N,398,-606605300,606605290,1.05821,0.89347,1.1844
large-K,4662,7903,28859,fp16,N,N,7903,4662,N,N,94,-606603432,606603422,20.50146,17.34990,1.1816
large-K,4840,1161,10909,bf16,N,N,1161,4840,N,N,166,-606629966,606629956,1.30918,1.11294,1.1763
large-K,6483,1176,8292,fp16,T,N,1176,6483,N,T,513,-606602943,606602933,1.30760,1.11392,1.1739
large-K,4483,916,12551,fp16,N,N,916,4483,N,N,217,-606603427,606603417,1.30729,1.11456,1.1729
large-K,344,2139,20412,fp16,N,T,2139,344,T,N,68,-606604809,606604799,0.53431,0.46141,1.1580
large-K,512,2286,25219,fp32,N,T,2286,512,T,N,612,-606602017,606602007,2.12210,1.83378,1.1572
large-K,1367,409,25805,bf16,T,T,409,1367,T,T,39,-606619899,606619889,0.77176,0.66770,1.1558
large-K,8381,6725,11137,fp16,N,N,6725,8381,N,N,90,-606624263,606624253,12.01605,10.40623,1.1547
large-K,6752,1467,27820,fp16,N,N,1467,6752,N,N,94,-606603431,606603421,6.42845,5.57553,1.1530
large-K,6118,2159,12633,fp16,T,N,2159,6118,N,T,245,-606603110,606603100,3.49773,3.03827,1.1512
large-K,136,722,17283,fp32,T,N,722,136,N,T,519,-606624915,606624905,0.32200,0.27993,1.1503
large-K,5158,12067,9594,fp16,T,T,12067,5158,T,T,53,-606629620,606629610,21.03456,18.32479,1.1479
large-K,738,656,30672,bf16,T,T,656,738,T,T,39,-606619899,606619889,0.84924,0.74266,1.1435
large-K,16920,802,8859,bf16,N,T,802,16920,T,N,57,-606603218,606603208,3.39697,2.97758,1.1408
large-K,8007,4053,14359,fp16,N,N,4053,8007,N,N,90,-606624263,606624253,8.41235,7.40349,1.1363
large-K,7469,7096,13033,fp16,T,T,7096,7469,T,T,53,-606629620,606629610,23.28198,20.49782,1.1358
large-K,5812,9185,10539,fp16,T,T,9185,5812,T,T,53,-606629618,606629608,18.62029,16.47412,1.1303
large-K,7636,687,19918,bf16,N,N,687,7636,N,N,166,-606605355,606605345,2.21900,1.96329,1.1302
large-K,12219,4267,25685,fp16,N,N,4267,12219,N,N,90,-606624263,606624253,24.91314,22.05611,1.1295
large-K,735,2182,15132,fp16,N,N,2182,735,N,N,99,-606603393,606603383,0.71339,0.63190,1.1290
large-K,9131,4607,9495,bf16,N,N,4607,9131,N,N,166,-606605364,606605354,7.59615,6.73279,1.1282
large-K,10459,5138,12405,fp16,T,T,5138,10459,T,T,53,-606629615,606629605,23.02040,20.44764,1.1258
large-K,20237,3995,13768,bf16,N,N,3995,20237,N,N,166,-606605354,606605344,19.80403,17.59303,1.1257
large-K,7975,23689,8735,fp16,T,T,23689,7975,T,T,53,-606629618,606629608,60.03396,53.34953,1.1253
large-K,4320,264,10998,bf16,N,T,264,4320,T,N,212,-606623137,606623127,0.32666,0.29144,1.1209
large-K,4624,8043,17176,bf16,N,N,8043,4624,N,N,166,-606605354,606605344,12.49830,11.16571,1.1193
large-K,2603,4273,10922,fp16,N,N,4273,2603,N,N,90,-606624263,606624253,2.49799,2.23987,1.1152
large-K,4406,1748,11716,bf16,N,N,1748,4406,N,N,273,-606629916,606629906,1.92429,1.72569,1.1151
large-K,13249,15611,9761,fp16,T,T,15611,13249,T,T,53,-606629620,606629610,71.41447,64.06046,1.1148
large-K,305,25443,22671,bf16,T,N,25443,305,N,T,231,-606630848,606630838,3.98179,3.57994,1.1122
large-K,202,5535,11871,bf16,N,N,5535,202,N,N,176,-606629917,606629907,0.58665,0.52795,1.1112
large-K,3104,738,8948,fp32,N,N,738,3104,N,N,556,-606628023,606628013,1.38548,1.24846,1.1098
large-K,9156,1432,13333,bf16,T,T,1432,9156,T,T,39,-606619911,606619901,4.70040,4.23767,1.1092
