M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
15003,18,16563,fp16,T,T,22,-621291509,0.57323,0.59127,1.0315,4,17,869.9,0,1.0248
2,73,3598,fp16,N,N,22,-171,0.07549,0.16003,2.1197,4,59,7.2,0,0.9706
22461,2050,214,fp16,T,N,71,-621296113,0.12699,0.16520,1.3008,4,58,1532.9,0,0.8274
19,1329,1,fp32,N,T,236,-621293079,0.00642,0.00638,0.9942,4,1551,16.6,0,1.1701
30787,2351,10181,bf16,T,N,69,-621290007,2.86037,3.40035,1.1888,4,5,337.1,0,0.8151
3,2,9,fp32,N,T,304,-621283754,0.00637,0.00624,0.9782,4,1639,0.0,0,0.9601
55,31775,102,fp32,N,N,278,-621283773,0.01235,0.02297,1.8602,4,381,1617.9,0,0.9326
2915,19,16,fp16,T,N,71,-380,0.00675,0.01679,2.4864,4,476,46.7,0,1.0455
2909,138,4576,bf16,T,N,79,-621289993,0.10007,0.18773,1.8760,4,48,294.7,0,1.0005
16831,4523,548,bf16,N,T,27,-621290046,0.31391,0.37163,1.1839,4,26,1044.6,0,0.6622
985,251,2,fp32,N,T,207,-621292911,0.00647,0.00619,0.9569,4,1372,154.4,0,1.3286
119,53,180,fp16,T,N,71,-386,0.01019,0.02586,2.5371,4,338,8.5,0,0.9919
93,920,9,bf16,N,N,17,-262,0.00677,0.02282,3.3689,4,390,53.2,0,0.9966
29802,39,3540,bf16,T,T,20,-621285694,0.15186,0.15714,1.0347,4,60,1421.8,0,0.8447
635,596,25198,bf16,N,T,32,-621290045,0.48866,0.81259,1.6629,4,13,130.1,0,0.9757
22,327,9939,bf16,N,T,32,-621290049,0.19565,0.33321,1.7031,4,30,35.6,0,0.9977
16134,1654,6162,bf16,N,N,17,-621292877,0.76200,0.77454,1.0165,4,13,427.8,0,0.7671
7,58,3,fp16,T,T,5,-445,0.00683,0.00651,0.9532,4,1590,0.3,0,0.9809
198,899,1464,fp32,T,N,326,-621284159,0.01543,0.01587,1.0285,4,512,462.6,0,0.9524
819,6,7074,fp32,T,N,358,-621293541,0.02159,0.04178,1.9351,4,197,1082.1,0,1.0198
1645,6483,15053,bf16,T,N,76,-621290018,0.83364,0.92393,1.1083,4,11,344.7,0,0.6192
10169,270,290,fp32,T,T,66,-621283250,0.02843,0.03305,1.1626,4,251,812.3,0,0.6539
2514,19485,1027,bf16,T,N,69,-621289993,0.28161,0.31571,1.1211,4,28,856.2,0,0.7928
12,1199,12140,bf16,N,T,32,-621290049,0.23655,0.40059,1.6934,4,25,124.5,0,0.9668
16279,54,1495,bf16,N,T,32,-621290045,0.04746,0.07186,1.5141,4,127,1103.0,0,1.1716
114,178,14509,fp16,T,N,78,-389,0.14172,0.44880,3.1668,4,23,60.4,0,0.9807
799,1202,587,bf16,N,T,27,-621290045,0.02809,0.04322,1.5385,4,214,220.4,0,1.0072
3,112,126,fp32,N,N,324,-621284002,0.00628,0.00630,1.0032,4,1443,9.4,0,0.9970
9,439,14,fp32,T,T,66,-621291446,0.00659,0.00649,0.9854,4,1526,6.2,0,1.0086
1,16,2,fp32,T,N,165,-621284034,0.00667,0.00649,0.9724,4,1611,0.0,0,0.9849
4119,7849,13742,fp16,T,T,22,-621291510,1.84154,1.98195,1.0762,4,5,248.8,0,0.7882
747,7198,166,fp32,T,N,298,-621293798,0.03502,0.05431,1.5508,4,176,764.7,0,0.7980
1996,1158,224,fp32,T,N,347,-621284046,0.01836,0.02668,1.4533,4,349,657.5,0,0.8815
455,8802,1,fp16,T,N,71,-382,0.00880,0.01679,1.9079,4,454,1822.8,0,1.2350
1659,912,3024,fp16,N,T,33,-621295773,0.07386,0.12215,1.6538,4,75,292.5,0,0.9916
18537,2,39,fp32,N,T,328,-621283649,0.00638,0.00630,0.9880,4,1422,476.9,0,0.9941
2509,286,16100,fp16,T,T,22,-621291499,0.60134,0.60139,1.0001,4,17,154.4,0,1.0100
624,1479,4,fp16,T,N,71,-382,0.00679,0.02180,3.2097,4,375,545.9,0,1.0164
48,27107,11163,fp16,T,T,22,-621291505,0.51215,0.52925,1.0334,4,18,1193.9,0,0.7562
9,13968,31299,fp32,T,N,380,-621293737,0.49319,0.95022,1.9267,4,10,3549.1,0,0.8737
28191,342,548,fp16,N,N,17,-621294406,0.06650,0.07472,1.1236,4,119,1050.2,0,0.6809
2,153,49,bf16,N,T,27,-349,0.00686,0.02404,3.5043,4,300,2.4,0,1.3900
29693,13981,5710,bf16,T,T,20,-621285693,8.99839,9.41523,1.0463,4,5,240.0,0,0.8008
13,1,239,fp16,T,T,23,-9,0.00394,0.02192,5.5584,4,416,1.7,0,0.9840
10370,120,68,fp16,N,T,27,-408,0.01119,0.02777,2.4804,4,298,572.1,0,1.0045
61,122,2379,bf16,N,T,32,-350,0.05530,0.09678,1.7501,4,91,16.3,0,0.9957
505,7784,7175,fp16,T,T,22,-621291500,0.32180,0.32156,0.9993,4,30,418.5,0,1.0053
22,7432,18904,fp32,N,T,386,-621292999,0.25205,4.69925,18.6442,4,5,2238.8,0,0.8736
26008,4614,18136,fp16,N,T,27,-621295777,8.98612,10.07860,1.1216,4,5,177.0,0,0.7028
2,9,190,fp16,N,T,27,-408,0.01174,0.02835,2.4143,4,293,0.4,0,0.9888
952,12707,55,bf16,T,T,20,-621285683,0.02617,0.04554,1.7401,4,199,1906.4,0,0.9486
2,2444,21,fp16,T,T,5,-448,0.00689,0.00660,0.9572,4,1486,17.7,0,0.9862
566,41,14,fp16,N,N,17,-170,0.00677,0.02471,3.6518,4,351,16.2,0,0.9931
