M,N,K,dtype,opA,opB,beta,rb_def_ms,rb_best_ms,lt_h0_ms,lt_besth_ms,lt_all_ms,tf_rb_def,tf_rb_best,tf_lt_h0,tf_lt_besth,tf_lt_all,n_rb_sol,n_lt_heur,n_lt_all,n_lt_ok,nrot,reps,clk_drift
3051,10,18,bf16,N,N,0,0.02602,0.00715,0.00742,0.00737,0.00745,0.04,0.15,0.15,0.15,0.15,17,256,940,3,4,344,0.9982
7178,2661,6836,fp32,T,N,0,4.89222,2.63177,2.47908,2.34287,2.33681,53.38,99.23,105.34,111.46,111.75,296,256,1024,3,4,5,0.6853
2,3,4,fp32,N,T,0,0.00862,0.00778,0.00813,0.00837,0.00847,0.00,0.00,0.00,0.00,0.00,305,256,1024,3,4,1604,0.9538
1504,11,22581,fp16,T,T,0,0.79106,0.76775,0.25645,0.02847,0.02588,0.94,0.97,2.91,26.25,28.87,22,256,1024,3,4,13,0.9574
1,63,1038,fp16,T,N,0,0.01381,0.00676,0.00732,0.00723,0.00726,0.01,0.02,0.02,0.02,0.02,9,32,32,3,4,553,0.9539
4130,6711,2365,fp32,N,N,0,1.41707,1.25490,1.30829,1.20726,1.22209,92.51,104.47,100.21,108.59,107.27,292,256,1024,3,4,7,0.6730
6861,119,24,bf16,T,N,0,0.02679,0.00698,0.00739,0.00754,0.00709,1.46,5.61,5.31,5.20,5.53,69,256,1024,3,4,303,0.9572
310,109,9,bf16,T,T,0,0.01429,0.00695,0.00731,0.00727,0.00732,0.04,0.09,0.08,0.08,0.08,20,256,1024,3,4,611,0.9902
889,412,1103,bf16,N,N,0,0.06346,0.04724,0.01316,0.01136,0.01126,12.73,17.11,61.40,71.14,71.75,23,256,940,3,4,135,1.0084
3095,218,431,bf16,N,N,0,0.04129,0.02726,0.01028,0.00972,0.00949,14.09,21.34,56.59,59.82,61.27,17,256,940,3,4,207,1.0061
27,48,35,fp32,N,T,0,0.00720,0.00657,0.00678,0.00688,0.00686,0.01,0.01,0.01,0.01,0.01,351,256,1024,3,4,1590,0.9510
13683,122,3126,fp16,T,T,0,0.15163,0.12779,0.16799,0.06285,0.05343,68.83,81.67,62.13,166.06,195.34,22,256,1024,3,4,68,0.6608
3,17,233,fp16,N,T,0,0.02967,0.01454,0.00741,0.00733,0.00734,0.00,0.00,0.00,0.00,0.00,27,256,889,3,4,288,0.9381
8,34,39,fp32,N,N,0,0.00711,0.00652,0.00688,0.00689,0.00679,0.00,0.00,0.00,0.00,0.00,364,256,1024,3,4,1597,0.9901
4,30,2,fp32,N,N,0,0.00716,0.00646,0.00684,0.00688,0.00678,0.00,0.00,0.00,0.00,0.00,432,256,1024,3,4,1618,0.9947
5598,4073,13160,fp32,T,T,0,7.20220,6.62663,5.41581,5.42054,5.40668,83.32,90.56,110.81,110.71,110.99,66,256,1024,3,4,5,0.6830
2,19241,7198,fp32,N,N,0,0.51620,0.16488,0.13842,0.14052,0.13525,1.07,3.36,4.00,3.94,4.10,320,256,1024,3,4,19,0.7985
2506,2654,21291,bf16,N,N,0,0.92068,0.90833,0.56298,0.54225,0.54020,307.61,311.79,503.05,522.29,524.27,23,256,940,3,4,10,0.6867
2,5845,2,fp16,T,N,0,0.00713,0.00687,0.00720,0.00709,0.00722,0.01,0.01,0.01,0.01,0.01,4,137,137,3,4,1570,0.9521
739,24939,2775,fp32,N,N,0,1.26766,1.02934,1.00223,0.99269,0.98930,80.69,99.37,102.06,103.04,103.39,292,256,1024,3,4,8,0.6793
262,7821,30041,bf16,T,N,0,1.11816,0.75416,0.39487,0.33326,0.34433,110.10,163.25,311.78,369.42,357.54,79,256,1024,3,4,9,0.7144
1706,48,137,fp32,T,N,0,0.00714,0.00676,0.00699,0.00701,0.00702,3.14,3.32,3.21,3.20,3.20,296,256,1024,3,4,1350,0.9695
981,17736,19,bf16,N,T,0,0.03641,0.03185,0.04342,0.03093,0.02824,18.16,20.76,15.23,21.37,23.41,27,256,889,3,4,273,0.8612
