capture,M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
gemma-3-12b,24,3840,4096,bf16,N,T,32,-621290049,0.08859,0.15668,1.7687
gemma-3-12b,24,8192,3840,bf16,N,T,32,-621290049,0.08418,0.15300,1.8175
gemma-3-12b,24,262208,3840,bf16,N,T,32,-621290045,0.67790,0.96117,1.4179
gemma-3-12b,241,3840,15360,bf16,N,T,32,-621290049,0.32472,0.63965,1.9699
gemma-3-12b,241,3840,4096,bf16,N,T,32,-621290045,0.09457,0.17330,1.8326
gemma-3-12b,12,30720,3840,bf16,N,T,32,-621290045,0.09569,0.15611,1.6314
gemma-3-12b,23,3840,15360,bf16,N,T,32,-621290049,0.29729,0.55284,1.8596
gemma-3-12b,12,3840,15360,bf16,N,T,32,-621290049,0.29634,0.55312,1.8665
gemma-3-12b,8192,3840,1152,bf16,N,N,17,-621292878,0.12854,0.12915,1.0047
gemma-3-12b,256,3840,15360,bf16,N,T,32,-621290049,0.32214,0.62641,1.9445
gemma-3-12b,24,30720,3840,bf16,N,T,32,-621290049,0.09420,0.15673,1.6638
gemma-3-12b,8192,8192,3840,bf16,N,T,27,-621290054,0.77365,0.82951,1.0722
gemma-3-12b,23,8192,3840,bf16,N,T,32,-621290049,0.08477,0.15279,1.8025
gemma-3-12b,241,30720,3840,bf16,N,T,32,-621290049,0.13239,0.18194,1.3743
gemma-3-12b,1152,4096,588,bf16,N,N,17,-621292876,0.02918,0.04855,1.6639
gemma-3-12b,8192,30720,3840,bf16,N,T,27,-621290051,3.04984,3.19829,1.0487
gemma-3-12b,8192,3840,4096,bf16,N,T,27,-621290033,0.39281,0.40886,1.0409
gemma-3-12b,8192,3840,15360,bf16,N,T,27,-621290045,1.82194,2.29017,1.2570
gemma-3-12b,256,8192,3840,bf16,N,T,32,-621290045,0.08809,0.16273,1.8473
gemma-3-12b,12,8192,3840,bf16,N,T,32,-621290049,0.08679,0.15276,1.7600
gemma-3-12b,256,3840,4096,bf16,N,T,32,-621290049,0.08594,0.16296,1.8963
gemma-3-12b,12,3840,4096,bf16,N,T,32,-621290049,0.08854,0.15638,1.7662
gemma-3-12b,241,8192,3840,bf16,N,T,32,-621290045,0.09281,0.17408,1.8756
gemma-3-12b,256,262208,3840,bf16,N,T,27,-621290056,1.07586,1.08832,1.0116
gemma-3-12b,256,30720,3840,bf16,N,T,32,-621290049,0.11983,0.19356,1.6153
gpt-oss-20b,15,201088,2880,bf16,N,T,32,-621290045,0.34283,0.51539,1.5033
gpt-oss-20b,16,201088,2880,bf16,N,T,32,-621290045,0.34109,0.50669,1.4855
gpt-oss-20b,256,201088,2880,bf16,N,T,27,-621290043,0.52894,0.51112,0.9663
llama-1b-2,7,128256,2048,bf16,N,T,32,-621290045,0.18149,0.28001,1.5428
llama-1b-2,7,2048,8192,bf16,N,T,32,-621290049,0.16098,0.27870,1.7313
llama-1b-2,7,16384,2048,bf16,N,T,32,-621290049,0.05149,0.09274,1.8010
llama-1b-2,78,2048,2048,bf16,N,T,32,-621290045,0.04946,0.08394,1.6972
llama-1b-2,512,3072,2048,bf16,N,T,32,-621290049,0.04603,0.07680,1.6686
llama-1b-2,13,2048,2048,bf16,N,T,32,-350,0.04939,0.08443,1.7096
llama-1b-2,78,2048,8192,bf16,N,T,32,-621290045,0.16409,0.28002,1.7065
llama-1b-2,512,2048,2048,bf16,N,T,32,-621290049,0.04802,0.07358,1.5322
llama-1b-2,256,3072,2048,bf16,N,T,32,-621290049,0.04572,0.07486,1.6371
llama-1b-2,8192,3072,2048,bf16,N,T,27,-621290049,0.19998,0.23490,1.1746
llama-1b-2,512,16384,2048,bf16,N,T,32,-621290049,0.06242,0.08354,1.3383
llama-1b-2,8192,2048,8192,bf16,N,T,27,-621290050,0.38703,0.37484,0.9685
